Metrics,Severity
java.abstractclass.superAbstractClassAdded,High
java.annotation.added,Low
java.annotation.attributeAdded,Medium
java.annotation.attributeRemoved,Medium
java.annotation.attributeValueChanged,Medium
java.annotation.DefaultElementAdded,No
java.annotation.DefaultElementRemoved,Medium
java.annotation.elementTypeChanged,Medium
java.annotation.noLongerInherited,Medium
java.annotation.nonDefaultElementAdded,High
java.annotation.nonDefaultElementRemoved,High
java.annotation.nowInherited,Medium
java.annotation.removed,Medium
java.class.abstractMethodRemoved,High
java.class.added,No
java.class.defaultSerializationChanged,High
java.class.externalClassExposedInAPI,Medium
java.class.externalClassNoLongerExposedInAPI,No
java.class.fieldAdded,Low
java.class.finalClassInheritsFromNewClass,No
java.class.kindChanged,High
java.class.noLongerAbstract,No
java.class.noLongerFinal,No
java.class.noLongerImplementsInterface,High
java.class.noLongerInheritsFromClass,High
java.class.nonFinalClassInheritsFromNewClass,Medium
java.class.nonPublicPartOfAPI,High
java.class.nowAbstract,High
java.class.nowCheckedException,High
java.class.nowFinal,High
java.class.nowGeneric,No
java.class.nowImplementsInterface,No
java.class.nowInterface,High
java.class.nowRaw,Medium
java.class.removed,High
java.class.superInterfaceRemoved,High
java.class.superTypeTypeParametersChanged,Low
java.class.visibilityIncreased,No
java.class.visibilityReduced,High
java.element.noLongerDeprecated,No
java.element.nowDeprecated,No
java.field.added,No
java.field.addedStaticField,No
java.field.constantValueChanged,High
java.field.enumConstantOrderChanged,Medium
java.field.inheritedNowDeclared,No
java.field.movedToSuperclass,No
java.field.noLongerConstant,High
java.field.noLongerFinal,No
java.field.noLongerStatic,High
java.field.nowConstant,Medium
java.field.nowFinal,Medium
java.field.nowStatic,No
java.field.removed,High
java.field.removedWithConstant,High
java.field.renamed,High
java.field.serialVersionUIDChanged,High
java.field.serialVersionUIDUnchanged,Medium
java.field.typeChanged,High
java.field.visibilityIncreased,No
java.field.visibilityReduced,High
java.generics.elementNowParameterized,Medium
java.generics.formalTypeParameterAdded,High
java.generics.formalTypeParameterChanged,High
java.generics.formalTypeParameterRemoved,High
java.interface.abstractMethodRemoved,High
java.interface.fieldAdded,Low
java.interface.nowClass,High
java.interface.nowGeneric,No
java.interface.nowRaw,Medium
java.interface.removed,High
java.interface.superConstantInterfaceAdded,Low
java.interface.superInterfaceRemoved,High
java.interfacemethod.noLongerDefault,High
java.interfacemethod.nowDefault,No
java.method.abstractMethodAdded,High
java.method.added,No
java.method.addedToInterface,High
java.method.attributeRemovedFromAnnotationType,High
java.method.attributeWithDefaultAddedToAnnotationType,No
java.method.attributeWithNoDefaultAddedToAnnotationType,High
java.method.defaultMethodAddedToInterface,No
java.method.defaultValueAdded,No
java.method.defaultValueChanged,Medium
java.method.defaultValueRemoved,High
java.method.exception.checkedAdded,High
java.method.exception.checkedRemoved,Medium
java.method.exception.runtimeAdded,Medium
java.method.fieldTypeParameterChanged,High
java.method.finalMethodAddedToNonFinalClass,Medium
java.method.inheritedMovedToClass,No
java.method.movedToSuperClass,No
java.method.noLongerAbstract,No
java.method.noLongerDefault,High
java.method.noLongerFinal,No
java.method.noLongerStatic,High
java.method.nowAbstract,High
java.method.nowDefault,No
java.method.nowFinal,Medium
java.method.nowFinalInFinalClass,No
java.method.nowStatic,Low
java.method.numberOfParametersChanged,High
java.method.parameterTypeChanged,Medium
java.method.parameterTypeErasureChanged,No
java.method.parameterTypeParameterChanged,Medium
java.method.removed,High
java.method.returnTypeChanged,Medium
java.method.returnTypeChangedCovariantly,No
java.method.returnTypeErasureChanged,No
java.method.returnTypeTypeParametersChanged,High
java.method.staticMethodAddedToInterface,No
java.method.visibilityIncreased,Medium
java.method.visibilityReduced,High
java.missing.newClass,Medium
java.missing.oldClass,Medium
java.missing.oldSuperType,Medium
java.nonabstractClass.abstractMethodAdded,High
java.superClass.added,Low
java.superClass.removed,Medium
java.superInterface.added,High
